UTM;Y;X;Departamento;Distrito;Localidad;Proyecto;Programa;Cantidad de Viviendas;Empresa;Estado de Obra;Porcentaje de avance;LPN Nº;Fecha de Inicio;Fecha de recepcion definitiva;Nivel;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;Asoc.Fun.Coop. Cnel. Oviedo;FONAVIS;16;RIGOBERTO  GONZALEZ GIMENEZ;En Ejecución;;;;;2,3;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;G.O.Com.Dir.Terr.Social Virgen de Fatima;FONAVIS;23;RIGOBERTO  GONZALEZ GIMENEZ;En Ejecución;;;10/03/14;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Nueva Londres;;G.O.Com.Vec. Nueva Londres;FONAVIS;70;NATANAEL CADOGAN DUARTE;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;G.O.Asoc.Trab.Medios de Comunic. C.Oviedo;FONAVIS;49;ABOG. VERONICA NATALIA OJEDA CASTELLI;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;G.O. Fracción Azul;FONAVIS;20;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;G.O.Com.Central de terr.soc.31 de julio 1°F;FONAVIS;40;ACG CONSULTORIA INTEGRAL;En Ejecución;;;02/01/14;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;G.O.Com.Central de terr.soc.31 de julio 2°F;FONAVIS;35;ACG CONSULTORIA INTEGRAL;En Ejecución;;;13/02/14;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Arroyo Guazú;G.O.Com.Pro. Viv. San Roque - Arroyo guazú;FONAVIS;52;RUBEN DARIO RAMIREZ SOSA;En Ejecución;;;;;F;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Asentamiento Caraguatay - mi;G.O.Com.Dir.Territorio Social Caraguatay-mí;FONAVIS;20;RIGOBERTO  GONZALEZ GIMENEZ;En Ejecución;;;10/03/14;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Cnel. Oviedo;G.O. Com.Dir. Territorio Social San Jorge;FONAVIS;58;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;San Joaquin;San Joaquín;G.O.Com.Pro Viv. San Joaquín 2F;FONAVIS;24;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;3 de Mayo;3 de Mayo;CEPRA;0;Ferretería Campo Grande;En Ejecución;;006/12;;;;;;;;;;;;;;
;;;CAAGUAZU;Caaguazu;3 de Mayo;3 de Mayo;CEPRA;0;MH Emprendimientos;En Ejecución;;006/12;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;La Esperanza;La Esperanza;CEPRA;0;Central Construcciones;En Ejecución;;006/12;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;La Esperanza;La Esperanza;CEPRA;0;Ferretería Campo Grande;En Ejecución;;006/12;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;La Esperanza;La Esperanza;CEPRA;0;MH Emprendimientos;En Ejecución;;006/12;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Jose Domingo Ocampos;Arsenio Báez;Arsenio Báez;CEPRA;0;RNV Hierros;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Jose Domingo Ocampos;Arsenio Báez;Arsenio Báez;CEPRA;0;Construcciones Integral;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Raul Arsenio Oviedo;Che mendá;Che Mendá;CEPRA;0;RNV Hierros S.A.;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Raul Arsenio Oviedo;Che Mendá;Che Mendá;CEPRA;0;Construcciones Integral;En Ejecución;;006/11;;;;;;;;;;;;;;
